bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
3,2,4,2,4,80
6.67,3.33,6.67,3.33,16.67,126.67
6.25,1.5,6.25,1.25,10,150
1.67,5.6,5,3.33,15,166.67
5,17.5,6.25,2.5,20,200
4,2,4,2,4,140
7.5,10,7.5,5,15,275
3,2.5,3.75,2.5,7.5,180
6,1,3,1.2,7,80
160,2.17,4,5,10,210
3.5,1.5,2.5,7.5,5,190
1.67,2,4,4,10,100
1.67,1,1.67,1,6.67,116.67
8.33,2.41,6,3.33,8.33,233.33
75,1.25,1.25,1.75,3,3.75
25,9,7.5,2.5,10,270
1.25,3.5,6,3.75,15,150
2,1,4,1,6,140
5.23,6,12,7.5,5,250
160,5,3,4,10,50
180,7.5,7.5,2.5,9,180
5,4.48,7.5,2.5,9,125
225,12.5,5,3.75,10,202.63
116.67,0.67,3.33,5,6,6.67
3.33,10,2.67,1.67,16,133.33
166.67,1,5,1,5,175
1,0.75,2,1.25,5,35
150,1.25,2.5,2.5,5,95.83
25,1,3.75,1.25,6.25,200
95,0.67,3.33,0.67,3.33,100
100,0.67,1,0.67,1.33,73.56
10,16,2,3,6,140
4.17,5,3.33,3.33,5,150
300,12.5,6,3,15,244.75
125,1.55,2.5,5,6.25,5
15,5,10,4,20,360
396.67,3,10,6,7,110
75,2.1,6,5,5,128
2.5,1.75,1,2,3.75,87.5
1.67,0.83,1.67,0.83,2,46.67
200,4.34,2.5,2.5,4,325
150,0.75,6.25,1.25,7.5,90
1.67,0.67,2.33,1,5,100
1.88,3,3.75,0.5,7.5,175
3,2,1.6,1,3,60
3.75,3.03,5,1.25,7,148.75
15,1.5,7.5,2,7.5,200
5,2.5,3.25,1,6.25,137.5
8.25,2.5,2.5,1,12.5,37.5
5,5,3,2.5,3.75,55
120,1,3,2,10,80
0.6,1,1,1,4,76
1.29,2.67,2,3.33,6.67,83.33
104,2,4,4,3,81.63
1.67,1.67,3.33,1,4.33,50
5.75,6.25,5,5,12.5,225
200,1,5,2.5,5,102.5
6,6.14,13.33,6.67,13.33,170
2.5,10,5,1.5,10,180
80,1.2,4.4,5.2,3.6,13.2
10,2.5,5,2.5,7.5,150
4.5,6,15,5,10,300
3.33,1.33,5,5,8.33,116.67
0.22,0.56,1.11,0.89,2.67,40
2,3.33,2.33,3.33,8.33,150
300,7.5,12.5,3,30,187.5
2,0.6,0.8,0.4,4,82
133.33,5,5,5,5.33,163.33
100,2,2.5,3.75,17.5,52.5
10,3,4,2,7,80
6.67,1.67,3.33,1.67,6.67,116.67
6,3,4,3,13,160
2,0.33,0.67,0.5,1.17,16.67
3.33,1.67,6.67,1.67,10,100
3.33,2.5,2.5,1.67,5.83,116.67
3.33,1.67,1.67,1.67,4,116.67
12.5,5,3,0.5,20,100
2.5,1.25,4,2.5,5,35
125,3.33,1.67,0.83,5,55
4,0.8,3,4,3,73
25,1.92,0.33,0.83,1.67,17
125,2.5,2,3.75,20,50
10,7.5,10,10,20,175
15,5,10,5,22.5,235
5,5,5,5,12.5,180
2.5,3.75,3.75,2.5,6.25,100
233.33,3.33,16.67,10,100,133.33
200,6.25,3.75,1.25,7.5,146.1
4,4,3,2,7,110
225,3,5,7.5,15,150.42
400,1.17,6.5,10,10,15
0.5,0.5,0.5,1.38,0.75,75
7.5,10,7.5,5,10,350
1.25,1.25,2.5,2.5,3.75,30
0.83,1.17,1.67,2.5,5,53.33
3.75,1.25,3.75,2.5,7.5,275
150,5,2.5,7.5,10,407.9
250,1.5,4,6,7.5,10
9.33,5,6.67,3.33,10,133.33
200,8,2.4,1,8,75
225,5,6.25,10,27.5,26
1.67,3.33,1,1,3.33,40
3.33,3.33,6.67,3.33,11.67,233.33
5,6,7.5,10,20,300
200,10,5,3.33,8.33,93.33
3.33,6.67,3.33,3.33,50,500
0.63,1.25,0.63,0.63,1.25,12.5
3.5,3.75,3,3.75,5,182.5
5,2.5,5,4,10,150
10,5,7.5,5,7.5,200
3.33,1.67,4,1.67,5,96.67
7.5,1.25,3.75,3.75,10,250
3.75,1.25,6.25,2.5,11.25,73.75
7.5,2.5,3.75,1.5,3.75,175
1.25,3.75,6.25,5,22.5,450
5,10,10,10,10,80
8.33,11.67,1,1,5,216.67
16.67,6.67,13.33,8.33,16.67,183.33
2.5,2,2.5,2,6,225
5,1.2,4,2.2,8,80
5,3,6,10,10,182.5
150,10,5,3.33,12,156.67
112.5,1.25,1.75,0.75,7.5,124.38
4.17,1,1.33,1.67,3.33,50
1.5,2.95,3.75,2.5,7.5,100
1,3.2,4,4,10,120
5,2.5,7.5,5,12.5,315
75,0.5,0.25,1.25,25,55
100,12.5,12.5,5,12.5,125.89
1,1.2,1,1.2,2.4,140
9,7.5,3.5,3,15,350
5,2.19,5,2,6,155
3.33,1.67,3.33,1,6.67,100
0.8,0.4,2,0.8,2,60
120,1.67,3.33,6.67,6.67,1.67
3.88,2.5,2,1.25,3.75,137.5
1.67,4.67,11.67,3.33,15,121.67
200,2.5,2.5,5,7.5,10
150,15,2.5,2.5,11.25,168.75
120,8,7.2,12,12,120.5
2,2,2.5,1.5,4,170
80,2.8,2,1.6,2,2
0.83,0.5,1.67,0.33,1.67,25
2.5,2.58,5,2.5,6.67,60.83
8.33,2.5,6.67,6.67,11.67,66.67
2.73,5,12.5,15,25,300
2,1.4,1.2,1,2.6,140
150,6,7.6,2,12,160
2.5,2.5,5,1.5,7.5,300
107.14,2.86,5.71,2.86,4.29,3.33
6,3,5,3,7,200
14.29,0.71,1.43,0.71,2.14,90.34
25,5,5,5,25,180
12.5,5,1.25,0.75,5,125
2.5,2,1.67,2.67,6.67,133.33
4.5,1,2.5,3.75,5,137.5
5,6.67,5,3.33,10,150
2.5,1,5,1,7.5,225
2.5,1.5,5,5,12.5,190
2,1.25,3.25,0.75,4.5,65
31.43,0.43,0.71,0.71,1.43,1.43
1.67,1.67,4,5,6.67,128.33
66.67,3.64,10,13.33,11.67,150
165,1.5,4.25,5,4.5,1.5
2.5,5,2.5,2.5,10,187.5
300,25,7.5,2.5,12.5,283.34
2,2,2,3,3,43.2
100,5.17,1.67,1.67,5,170
3.75,1.25,5,1.25,7.5,200
3,3,5,3,20,185
6.67,3,4,4,11.67,316.67
92.5,1.75,3.5,5,6.25,88
4,0.93,5,2,5.6,119
87.5,1.5,2.5,1,3.75,87.5
6.25,3.75,4.5,2.5,6,145
250,12.5,12.5,7.5,15,33.69
4,2,5,3,15,200
16.83,2.5,1.25,1.25,7.5,150
3.33,3.33,1.67,1.67,6.67,120
8.33,2,2.5,1.67,5.83,83.33
10,4.21,6.67,5,21.67,266.67
5,0.83,1.67,0.83,4.17,83.33
10,3.75,4.5,1.75,7.5,137.5
90,2,3,1,4,148.73
200,1.67,8.33,6.67,26.67,40.22
1,0.33,2.5,0.5,3.33,108.33
77.78,0.56,0.89,2.22,2.22,0.56
5,1.75,6,2.5,12,75
160,0.6,1.4,1,2.4,26
5,1.02,4.5,7.5,3.75,75
90,0.8,3,4,3,41.83
2.5,1.25,1.25,2,3.75,75
6.67,5,8.33,5,10,150
7.5,1.25,2.5,1.25,6.25,175
2,0.8,1,0.8,2,72
133.33,0.67,1,1,6.67,66.67
2,2,2,0.6,2.4,64
1.5,5,4,2.5,10,150
3.5,4,10,2.5,30,200
0.75,0.75,2.5,0.5,3.75,50
1.83,0.67,1.67,1.5,5,63.33
1,0.4,2.4,6,4,84
7.14,8.57,8.57,1.43,1.43,85.71
0.17,2.5,1.67,2.5,3.33,75
2.5,5,7.5,1.25,17.5,187.5
2,1,3,1,4,70
3.75,1.75,2.5,3.75,7.5,112.5
1.75,2,3.75,0.75,7.5,90
1.2,1.2,2,1.2,4,76
80,3,2.4,7,12,146
2,2,4,1,6,76
5,3.33,3.33,5,10,166.67
5,12.5,2.5,1.5,25,175
7.5,3.75,4.5,1.5,8.75,92.5
200,1.57,4,6.67,10,115
2.5,1.25,2,0.75,2.5,37.5
1,1.67,1.67,1.67,3.33,36.67
4,1,5,2,6,60
5,2.5,5,2.5,3.75,100
50,2.5,5,6.25,6.25,172.5
100,7.5,7.5,7.5,10,257.5
1.67,3.73,3.33,3.33,13.33,133.33
4,1.6,2,3,6,110
